test.subset,train.subsets,learner_id,task_id,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro,lr,learner_name
unbalanced,same,lr0.5conv_CE_weighted,MNIST_seed1_prop0.1,0.868128776550293,0.224634488321923,0.949572285016378,0.0834085417189565,0.5,conv_CE_weighted
balanced,other,lr1conv_CE_unweighted,MNIST_seed1_prop0.1,0.621300756931305,0.0703745998730615,0.740407188733419,0.151913145765112,1,conv_CE_unweighted
unbalanced,other,lr1conv_CE_unweighted,MNIST_seed1_prop0.1,0.654298186302185,0.0296355974849278,0.809356391429901,0.0405871864589776,1,conv_CE_unweighted
balanced,same,lr1conv_CE_unweighted,MNIST_seed1_prop0.1,0.667241334915161,0.138984758397794,0.750651687383652,0.217671782201926,1,conv_CE_unweighted
unbalanced,same,lr1conv_CE_unweighted,MNIST_seed1_prop0.1,0.672878960768382,0.0987036554871465,0.738566736380259,0.0291101693260422,1,conv_CE_unweighted
balanced,other,lr1conv_Macro_AUM,MNIST_seed1_prop0.1,0.545991937319438,0.0317151072265113,0.875101725260417,0.161216394991831,1,conv_Macro_AUM
unbalanced,other,lr1conv_Macro_AUM,MNIST_seed1_prop0.1,0.535148282845815,0.0197472989350698,0.894678294658661,0.0597259344498071,1,conv_Macro_AUM
balanced,same,lr1conv_Macro_AUM,MNIST_seed1_prop0.1,0.542537768681844,0.00724798428564712,0.90445073445638,0.0663227674032523,1,conv_Macro_AUM
unbalanced,same,lr1conv_Macro_AUM,MNIST_seed1_prop0.1,0.524794628222784,0.031759625376633,0.942022383213043,0.0645610948743886,1,conv_Macro_AUM
balanced,other,lr1conv_Micro_AUM,MNIST_seed1_prop0.1,0.947863519191742,0.0650211422249812,0.972051382064819,0.0232158574290944,1,conv_Micro_AUM
unbalanced,other,lr1conv_Micro_AUM,MNIST_seed1_prop0.1,0.980033934116364,0.00465590611549434,0.982007165749868,0.00277665328599174,1,conv_Micro_AUM
balanced,same,lr1conv_Micro_AUM,MNIST_seed1_prop0.1,0.986022055149078,0.00166973858538824,0.987393657366435,0.00090111087010891,1,conv_Micro_AUM
unbalanced,same,lr1conv_Micro_AUM,MNIST_seed1_prop0.1,0.97210168838501,0.00938561726803843,0.97655459245046,0.00392050375974399,1,conv_Micro_AUM
balanced,other,lr1conv_CE_weighted,MNIST_seed1_prop0.1,0.644875625769297,0.149709756292374,0.741609414418539,0.110540606989059,1,conv_CE_weighted
unbalanced,other,lr1conv_CE_weighted,MNIST_seed1_prop0.1,0.556159178415934,0.0901595856250281,0.729543725649516,0.111113425974753,1,conv_CE_weighted
balanced,same,lr1conv_CE_weighted,MNIST_seed1_prop0.1,0.612641761700312,0.203741432530944,0.627570708592733,0.225568258539428,1,conv_CE_weighted
unbalanced,same,lr1conv_CE_weighted,MNIST_seed1_prop0.1,0.559634615977605,0.151053343427099,0.698419749736786,0.17808665980091,1,conv_CE_weighted
